epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1531.64,0.51246,0.42233,0.36228,1.07269,0.99198,0.93741,0.95834,0.93888,0.99198,0.93741,0.95758,0.94353,0.18551,0.5163,0.4143,0.83946,0.008053,0.008053,0.008053
61,1556.71,0.51164,0.39254,0.35472,1.07538,0.99445,0.93878,0.964,0.94448,0.99301,0.93741,0.95931,0.94497,0.18825,0.59821,0.35764,0.84369,0.00802,0.00802,0.00802
62,1581.77,0.49819,0.38932,0.3465,1.0709,0.99712,0.94359,0.97186,0.94831,0.99424,0.93891,0.97027,0.95066,0.18995,0.48364,0.25448,0.85191,0.007987,0.007987,0.007987
63,1606.9,0.49632,0.38042,0.34154,1.07435,0.99548,0.93469,0.96196,0.9404,0.99299,0.93333,0.95812,0.94203,0.18949,0.53676,0.37227,0.84179,0.007954,0.007954,0.007954
64,1632.63,0.5045,0.39255,0.34936,1.07108,0.99288,0.94829,0.96646,0.947,0.99145,0.94693,0.96494,0.94844,0.20387,0.53516,0.29278,0.84618,0.007921,0.007921,0.007921
65,1657.82,0.50105,0.3824,0.34952,1.07555,0.99424,0.93912,0.96261,0.94192,0.99304,0.93741,0.95977,0.94397,0.17978,0.41751,0.32255,0.84225,0.007888,0.007888,0.007888
66,1683.24,0.49724,0.39297,0.34227,1.07061,0.99002,0.94517,0.97249,0.95181,0.9886,0.94381,0.97086,0.95206,0.17904,0.48337,0.24727,0.84394,0.007855,0.007855,0.007855
67,1708.24,0.50519,0.41189,0.34494,1.08271,0.99282,0.94286,0.96177,0.94259,0.99139,0.9415,0.96022,0.94292,0.20688,0.48492,0.27436,0.85414,0.007822,0.007822,0.007822
68,1734.18,0.50357,0.40273,0.35899,1.07483,0.99424,0.93932,0.958,0.9363,0.9928,0.93796,0.95671,0.94013,0.18875,0.48576,0.306,0.84411,0.007789,0.007789,0.007789
69,1760.12,0.50004,0.39082,0.34405,1.07426,0.99584,0.93878,0.95922,0.94089,0.99405,0.9415,0.95785,0.9413,0.19681,0.48862,0.27743,0.84611,0.007756,0.007756,0.007756
70,1785.96,0.50096,0.40158,0.3493,1.07294,0.99426,0.94308,0.95267,0.93743,0.99426,0.94308,0.95221,0.93924,0.18645,0.48823,0.39764,0.84724,0.007723,0.007723,0.007723
71,1811.28,0.49462,0.38937,0.3446,1.0663,0.9971,0.93564,0.9631,0.93857,0.99565,0.93428,0.96122,0.94442,0.18914,0.48328,0.30462,0.85041,0.00769,0.00769,0.00769
72,1836.3,0.48938,0.38186,0.342,1.07104,0.99278,0.93741,0.95611,0.93653,0.99134,0.93605,0.95522,0.93856,0.18549,0.5039,0.2832,0.85238,0.007657,0.007657,0.007657
73,1861.99,0.49718,0.40806,0.34878,1.07194,0.98999,0.94422,0.97298,0.94932,0.98838,0.94286,0.97133,0.95418,0.17262,0.49366,0.22085,0.83924,0.007624,0.007624,0.007624
74,1887.02,0.48437,0.38592,0.34222,1.06835,0.99568,0.94165,0.96355,0.9426,0.99425,0.94029,0.96132,0.94557,0.18716,0.49879,0.30219,0.85295,0.007591,0.007591,0.007591
75,1912.6,0.48521,0.40321,0.34092,1.06182,0.99529,0.93878,0.96923,0.94492,0.99385,0.93741,0.96605,0.95014,0.21392,0.58357,0.24898,0.8578,0.007558,0.007558,0.007558
76,1938.5,0.49696,0.37361,0.34519,1.07231,0.99422,0.93601,0.95671,0.9389,0.99422,0.93601,0.95531,0.94193,0.17249,0.48076,0.29029,0.83517,0.007525,0.007525,0.007525
77,1964.58,0.4804,0.39883,0.34203,1.06448,0.99712,0.94217,0.96315,0.94847,0.99568,0.94081,0.96095,0.94705,0.1621,0.53841,0.24938,0.82865,0.007492,0.007492,0.007492
78,1989.81,0.48089,0.36389,0.33597,1.06543,0.99282,0.94094,0.95841,0.94033,0.99139,0.93962,0.95777,0.94394,0.17589,0.49247,0.2694,0.83971,0.007459,0.007459,0.007459
79,2015.24,0.49302,0.37393,0.33476,1.06681,0.99568,0.94,0.96716,0.9475,0.99424,0.93864,0.96512,0.94701,0.16021,0.56319,0.25802,0.83581,0.007426,0.007426,0.007426
80,2040.95,0.48063,0.38366,0.33203,1.05344,0.99682,0.93878,0.95904,0.94124,0.99115,0.94286,0.95815,0.94344,0.16313,0.50814,0.29519,0.82607,0.007393,0.007393,0.007393
81,2066.01,0.48217,0.38348,0.34015,1.06333,0.99711,0.9399,0.96746,0.94408,0.99711,0.9399,0.96775,0.94791,0.1777,0.50695,0.26816,0.84499,0.00736,0.00736,0.00736
82,2091.94,0.48173,0.36864,0.3341,1.06395,0.98867,0.9496,0.97486,0.94778,0.98867,0.9496,0.97361,0.95204,0.18645,0.51268,0.22436,0.85418,0.007327,0.007327,0.007327
83,2117.63,0.47148,0.37954,0.32614,1.05544,0.9901,0.95269,0.97077,0.953,0.98869,0.95133,0.96842,0.95015,0.16612,0.50872,0.27234,0.83558,0.007294,0.007294,0.007294
84,2142.69,0.49002,0.36681,0.33304,1.07177,0.99569,0.94207,0.95998,0.94486,0.99426,0.94215,0.95943,0.94528,0.18834,0.53799,0.29574,0.83168,0.007261,0.007261,0.007261
85,2167.72,0.48595,0.37143,0.33976,1.06316,0.99568,0.94076,0.96797,0.94995,0.99424,0.9394,0.96582,0.94834,0.15803,0.53706,0.26223,0.82137,0.007228,0.007228,0.007228
86,2193.62,0.4764,0.36598,0.33149,1.05696,0.9971,0.93704,0.9705,0.95268,0.99139,0.94048,0.96869,0.95122,0.16241,0.54471,0.23603,0.83178,0.007195,0.007195,0.007195
87,2219.9,0.48225,0.39321,0.33341,1.0591,0.99011,0.95317,0.96576,0.94628,0.98869,0.95184,0.96467,0.949,0.17195,0.53808,0.24108,0.83377,0.007162,0.007162,0.007162
88,2246.13,0.48143,0.39219,0.32987,1.06526,0.99653,0.94014,0.96603,0.95168,0.99508,0.93878,0.96376,0.95054,0.15816,0.58535,0.28023,0.82732,0.007129,0.007129,0.007129
