epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1345.47,0.52678,0.41497,0.35855,1.07286,0.98582,0.94613,0.9711,0.94727,0.98725,0.94805,0.97286,0.94947,0.20685,0.51724,0.30061,0.86459,0.008383,0.008383,0.008383
51,1372.19,0.51897,0.40638,0.36086,1.05999,0.99284,0.94295,0.96192,0.94276,0.9914,0.94159,0.95973,0.94021,0.20117,0.52754,0.25103,0.86061,0.00835,0.00835,0.00835
52,1398.95,0.52933,0.39906,0.35966,1.07054,0.99427,0.94353,0.96454,0.94285,0.99283,0.94217,0.9621,0.94476,0.17796,0.51838,0.29594,0.8539,0.008317,0.008317,0.008317
53,1425.68,0.50946,0.39377,0.34882,1.05703,0.98429,0.9415,0.9657,0.94431,0.97999,0.94422,0.96504,0.94196,0.20784,0.44347,0.33401,0.86951,0.008284,0.008284,0.008284
54,1452.23,0.50995,0.43297,0.35617,1.06246,0.99281,0.9415,0.97286,0.94911,0.99375,0.94286,0.97043,0.95006,0.20663,0.51297,0.23733,0.85679,0.008251,0.008251,0.008251
55,1478.81,0.52234,0.41143,0.35816,1.06529,0.99429,0.94762,0.97189,0.94769,0.99429,0.94762,0.97161,0.95219,0.19501,0.51709,0.25866,0.85916,0.008218,0.008218,0.008218
56,1505.55,0.51798,0.40122,0.35672,1.06174,0.98904,0.9415,0.96281,0.93994,0.98761,0.94014,0.96017,0.94564,0.20219,0.46965,0.28774,0.86892,0.008185,0.008185,0.008185
57,1532.13,0.50744,0.38552,0.35328,1.05781,0.98998,0.9407,0.95419,0.9338,0.98855,0.93987,0.95274,0.93601,0.19765,0.50926,0.37925,0.85366,0.008152,0.008152,0.008152
58,1558.82,0.50947,0.40184,0.35281,1.05591,0.99426,0.94282,0.95858,0.93635,0.99283,0.94146,0.95564,0.93728,0.18886,0.53675,0.40326,0.86857,0.008119,0.008119,0.008119
59,1585.46,0.51853,0.39731,0.35458,1.06085,0.98719,0.94353,0.96973,0.94495,0.98863,0.94606,0.96998,0.94852,0.18864,0.50776,0.26739,0.85376,0.008086,0.008086,0.008086
60,1612.09,0.50544,0.38926,0.34597,1.05801,0.99563,0.94694,0.96461,0.94655,0.9942,0.94558,0.96356,0.94528,0.18852,0.49185,0.24586,0.84592,0.008053,0.008053,0.008053
61,1638.69,0.49725,0.38262,0.34592,1.05228,0.98734,0.9551,0.97109,0.94931,0.99427,0.94454,0.97082,0.95281,0.20843,0.50586,0.25011,0.86058,0.00802,0.00802,0.00802
62,1665.85,0.48978,0.38316,0.33644,1.04746,0.9943,0.94868,0.96914,0.94423,0.99287,0.94732,0.96611,0.94671,0.18616,0.53025,0.35554,0.83887,0.007987,0.007987,0.007987
63,1693.55,0.49875,0.4014,0.34287,1.04968,0.98852,0.95102,0.96276,0.93968,0.98852,0.95102,0.96201,0.94489,0.18329,0.51562,0.36402,0.84856,0.007954,0.007954,0.007954
64,1720.61,0.50521,0.38473,0.3438,1.06011,0.98866,0.94925,0.96828,0.94754,0.99427,0.94451,0.96627,0.94886,0.18927,0.50462,0.25287,0.84739,0.007921,0.007921,0.007921
65,1747.81,0.50358,0.40087,0.34853,1.05184,0.99424,0.93964,0.96151,0.9397,0.9928,0.93828,0.95953,0.94,0.21817,0.48264,0.39621,0.86546,0.007888,0.007888,0.007888
66,1774.64,0.50255,0.38332,0.34505,1.05558,0.99548,0.9415,0.95316,0.93468,0.99405,0.94014,0.95139,0.9352,0.19968,0.55477,0.47256,0.85725,0.007855,0.007855,0.007855
67,1802.13,0.5112,0.39955,0.34476,1.0602,0.99622,0.94014,0.96529,0.94478,0.99478,0.93878,0.96182,0.94626,0.19632,0.57732,0.4002,0.85072,0.007822,0.007822,0.007822
68,1829.71,0.49616,0.38764,0.34073,1.04912,0.99248,0.93605,0.95298,0.93802,0.98544,0.9415,0.95258,0.93838,0.18664,0.46224,0.38334,0.85128,0.007789,0.007789,0.007789
69,1857.5,0.50231,0.36992,0.33706,1.05279,0.99709,0.93291,0.95313,0.93332,0.99855,0.93427,0.95478,0.93639,0.20148,0.46389,0.40368,0.87435,0.007756,0.007756,0.007756
70,1885.11,0.49293,0.37925,0.33502,1.05151,0.9872,0.9483,0.96988,0.94688,0.9872,0.9483,0.97049,0.9497,0.19215,0.49094,0.22721,0.85328,0.007723,0.007723,0.007723
71,1912.52,0.50378,0.3891,0.33979,1.05818,0.99142,0.94372,0.95607,0.93876,0.99142,0.94372,0.95435,0.94031,0.18094,0.50242,0.34738,0.84283,0.00769,0.00769,0.00769
72,1939.24,0.49399,0.39725,0.33748,1.04344,0.99429,0.93878,0.95876,0.92982,0.99429,0.93878,0.95789,0.93209,0.18542,0.49202,0.34976,0.84381,0.007657,0.007657,0.007657
73,1966.2,0.48946,0.38278,0.33817,1.0468,0.9872,0.94418,0.96667,0.94624,0.98862,0.94554,0.96706,0.95007,0.16691,0.49554,0.32153,0.83126,0.007624,0.007624,0.007624
74,1992.8,0.48584,0.37239,0.33281,1.04985,0.99428,0.94516,0.96907,0.94682,0.99284,0.9438,0.9667,0.9481,0.18562,0.54747,0.2208,0.84903,0.007591,0.007591,0.007591
75,2019.39,0.49316,0.39641,0.33433,1.05178,0.98985,0.94694,0.96593,0.94488,0.99006,0.94893,0.96607,0.94609,0.18458,0.52912,0.32673,0.8409,0.007558,0.007558,0.007558
76,2046.09,0.49354,0.37244,0.33807,1.05381,0.98726,0.94861,0.96519,0.94068,0.98584,0.94725,0.96488,0.94227,0.19923,0.46746,0.38985,0.84046,0.007525,0.007525,0.007525
77,2072.75,0.48067,0.37736,0.32779,1.04652,0.99582,0.94558,0.96607,0.94611,0.99439,0.94422,0.96464,0.95056,0.18539,0.4878,0.29917,0.83981,0.007492,0.007492,0.007492
78,2099.46,0.48713,0.37925,0.32753,1.04443,0.99693,0.9415,0.97224,0.95299,0.99549,0.94014,0.97079,0.95479,0.1624,0.48727,0.23822,0.8325,0.007459,0.007459,0.007459
79,2126.02,0.48405,0.38529,0.337,1.04558,0.99287,0.9467,0.96177,0.94308,0.99091,0.94694,0.96153,0.94435,0.1735,0.50166,0.26662,0.83466,0.007426,0.007426,0.007426
80,2152.77,0.49334,0.38178,0.3331,1.05042,0.99697,0.94014,0.96011,0.94358,0.99553,0.93878,0.95921,0.94347,0.18796,0.49271,0.45228,0.84538,0.007393,0.007393,0.007393
81,2179.43,0.48163,0.38471,0.32737,1.04239,0.98863,0.9461,0.96867,0.95135,0.9872,0.94474,0.96837,0.95062,0.17149,0.52261,0.25469,0.84058,0.00736,0.00736,0.00736
82,2206.02,0.47911,0.37576,0.32948,1.04137,0.98727,0.9495,0.96799,0.94775,0.98585,0.94814,0.96785,0.94946,0.18566,0.48759,0.34397,0.8388,0.007327,0.007327,0.007327
83,2232.72,0.47498,0.36654,0.31846,1.03601,0.99363,0.94422,0.96123,0.94219,0.99219,0.94286,0.96035,0.94574,0.18772,0.5122,0.24987,0.85042,0.007294,0.007294,0.007294
84,2259.49,0.48537,0.37553,0.32867,1.04508,0.99143,0.94405,0.96138,0.942,0.99,0.94269,0.96127,0.94523,0.16771,0.48022,0.33638,0.83715,0.007261,0.007261,0.007261
85,2286.23,0.48928,0.36318,0.32972,1.04925,0.98871,0.93741,0.96043,0.94235,0.98727,0.93605,0.95861,0.93997,0.17972,0.53372,0.23516,0.84052,0.007228,0.007228,0.007228
86,2312.99,0.47481,0.39014,0.32233,1.03454,0.99536,0.94014,0.95775,0.94222,0.99387,0.93878,0.95717,0.94221,0.17236,0.45588,0.29412,0.8291,0.007195,0.007195,0.007195
87,2339.69,0.48617,0.38416,0.33077,1.05129,0.99282,0.94112,0.96426,0.94603,0.99139,0.93976,0.96402,0.94842,0.1674,0.49701,0.2349,0.83091,0.007162,0.007162,0.007162
