epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2016.26,0.49737,0.38541,0.33812,1.08689,0.99568,0.94,0.96514,0.9451,0.99424,0.93864,0.96452,0.94891,0.19592,0.53031,0.2783,0.85933,0.007393,0.007393,0.007393
81,2041.05,0.48626,0.3852,0.32539,1.08685,0.99665,0.94286,0.96504,0.94807,0.99145,0.9467,0.96404,0.95004,0.18554,0.50133,0.29821,0.84753,0.00736,0.00736,0.00736
82,2065.97,0.47832,0.37802,0.32627,1.08361,0.99571,0.9463,0.96322,0.94394,0.99571,0.9463,0.96439,0.94801,0.16969,0.51731,0.35148,0.84444,0.007327,0.007327,0.007327
83,2090.76,0.47714,0.36876,0.31771,1.07698,0.99426,0.94237,0.96281,0.94362,0.99282,0.94101,0.96195,0.94687,0.17929,0.52162,0.33468,0.85323,0.007294,0.007294,0.007294
84,2115.7,0.4869,0.36753,0.3263,1.08723,0.99145,0.94712,0.95943,0.9418,0.98865,0.94778,0.95986,0.94464,0.17947,0.54431,0.5028,0.85454,0.007261,0.007261,0.007261
85,2140.76,0.48685,0.36798,0.3294,1.08951,0.99187,0.9415,0.9531,0.93793,0.99041,0.94014,0.95243,0.93883,0.18387,0.55251,0.38236,0.84884,0.007228,0.007228,0.007228
86,2165.76,0.48102,0.38864,0.32183,1.07901,0.99567,0.93959,0.95714,0.94538,0.99567,0.93959,0.95947,0.94519,0.17093,0.50501,0.30401,0.83724,0.007195,0.007195,0.007195
87,2191,0.49,0.38796,0.33429,1.09757,0.99379,0.9415,0.96002,0.94078,0.99235,0.94014,0.95862,0.94398,0.18799,0.548,0.28872,0.85178,0.007162,0.007162,0.007162
88,2216.01,0.48932,0.36697,0.32852,1.08864,0.99118,0.94286,0.95802,0.94185,0.98975,0.9415,0.95675,0.94246,0.18077,0.54997,0.30553,0.85005,0.007129,0.007129,0.007129
89,2241.1,0.48434,0.38264,0.32435,1.08392,0.99133,0.94286,0.97102,0.94701,0.9899,0.9415,0.96954,0.94928,0.18426,0.53149,0.22294,0.84995,0.007096,0.007096,0.007096
90,2266.27,0.48401,0.36893,0.31768,1.08489,0.99407,0.9415,0.95469,0.93831,0.99259,0.94014,0.95406,0.94142,0.17953,0.52332,0.31367,0.85447,0.007063,0.007063,0.007063
91,2291.17,0.47163,0.38301,0.32381,1.06804,0.99425,0.94178,0.95484,0.93603,0.99425,0.94178,0.95468,0.93823,0.17438,0.53177,0.51464,0.84715,0.00703,0.00703,0.00703
